Epoch,Kayıp,Doğruluk (%)
1,0.7041326796400674,76.31190476190476
2,0.28470077382647285,91.05952380952381
3,0.21502232571136734,93.12619047619047
4,0.1853487394109391,94.25952380952381
5,0.16762749286853287,94.67142857142858
6,0.1583470363613598,95.03333333333333
7,0.14474782932838892,95.5047619047619
8,0.135809433122011,95.74047619047619
9,0.13049181017746844,96.11428571428571
10,0.129023368162765,96.05952380952381
11,0.12580384063581218,96.14285714285714
12,0.12314511623511394,96.20952380952382
13,0.1144599569266835,96.46904761904761
14,0.11316900061871545,96.50952380952381
15,0.11310239506479994,96.52857142857142
16,0.10697709241048454,96.71428571428571
17,0.10666383510594409,96.76190476190476
18,0.1021340656742068,96.86904761904762
19,0.1002282685471934,96.86190476190477
20,0.1010107174267655,96.88333333333334

Performans Metrikleri
Kesinlik (Precision),0.9756946119490258
Duyarlılık (Recall),0.9756413900663846
F1 Skoru,0.9756510251801587
